country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1950,both,1696576
0,RFP,Request for Proposal,0,0,1951,both,1730928
0,RFP,Request for Proposal,0,0,1952,both,1760064
0,RFP,Request for Proposal,0,0,1953,both,1796898
0,RFP,Request for Proposal,0,0,1954,both,1831209
0,RFP,Request for Proposal,0,0,1955,both,1868836
0,RFP,Request for Proposal,0,0,1956,both,1908554
0,RFP,Request for Proposal,0,0,1957,both,1948160
0,RFP,Request for Proposal,0,0,1958,both,1988098
0,RFP,Request for Proposal,0,0,1959,both,2025557
0,RFP,Request for Proposal,0,0,1960,both,2071559.000000000232830643654
0,RFP,Request for Proposal,0,0,1961,both,2120323
0,RFP,Request for Proposal,0,0,1962,both,2173566
0,RFP,Request for Proposal,0,0,1963,both,2219799
0,RFP,Request for Proposal,0,0,1964,both,2269846
0,RFP,Request for Proposal,0,0,1965,both,2319607
0,RFP,Request for Proposal,0,0,1966,both,2373357
0,RFP,Request for Proposal,0,0,1967,both,2424383
0,RFP,Request for Proposal,0,0,1968,both,2478031
0,RFP,Request for Proposal,0,0,1969,both,2533458
0,RFP,Request for Proposal,0,0,1970,both,2594511
0,RFP,Request for Proposal,0,0,1971,both,2671104
0,RFP,Request for Proposal,0,0,1972,both,2740755
0,RFP,Request for Proposal,0,0,1973,both,2819292
0,RFP,Request for Proposal,0,0,1974,both,2922261
0,RFP,Request for Proposal,0,0,1975,both,3020729
0,RFP,Request for Proposal,0,0,1976,both,3105802
0,RFP,Request for Proposal,0,0,1977,both,3202769
0,RFP,Request for Proposal,0,0,1978,both,3307814
0,RFP,Request for Proposal,0,0,1979,both,3384867
0,RFP,Request for Proposal,0,0,1980,both,3459590
0,RFP,Request for Proposal,0,0,1981,both,3536880
0,RFP,Request for Proposal,0,0,1982,both,3613191
0,RFP,Request for Proposal,0,0,1983,both,3703502
0,RFP,Request for Proposal,0,0,1984,both,3725987
0,RFP,Request for Proposal,0,0,1985,both,3777044
0,RFP,Request for Proposal,0,0,1986,both,3823664
0,RFP,Request for Proposal,0,0,1987,both,3883568
0,RFP,Request for Proposal,0,0,1988,both,3962874
0,RFP,Request for Proposal,0,0,1989,both,4079684
0,RFP,Request for Proposal,0,0,1990,both,4167694.999999999534338712692
0,RFP,Request for Proposal,0,0,1991,both,4266337
0,RFP,Request for Proposal,0,0,1992,both,4372800
0,RFP,Request for Proposal,0,0,1993,both,4495408
0,RFP,Request for Proposal,0,0,1994,both,4618591
0,RFP,Request for Proposal,0,0,1995,both,4732369
0,RFP,Request for Proposal,0,0,1996,both,4827741
0,RFP,Request for Proposal,0,0,1997,both,4909645
0,RFP,Request for Proposal,0,0,1998,both,5001845
0,RFP,Request for Proposal,0,0,1999,both,5177035
0,RFP,Request for Proposal,0,0,2000,both,5344502
0,RFP,Request for Proposal,0,0,2001,both,5495767
0,RFP,Request for Proposal,0,0,2002,both,5645138
0,RFP,Request for Proposal,0,0,2003,both,5779349
0,RFP,Request for Proposal,0,0,2004,both,5901685
0,RFP,Request for Proposal,0,0,2005,both,6053810
0,RFP,Request for Proposal,0,0,2006,both,6191393
0,RFP,Request for Proposal,0,0,2007,both,6337230
0,RFP,Request for Proposal,0,0,2008,both,6506155
0,RFP,Request for Proposal,0,0,2009,both,6644734
0,RFP,Request for Proposal,0,0,2010,both,6775913
0,RFP,Request for Proposal,0,0,2011,both,6916425
