country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,4,1950,both,2820648
0,RFP,Request for Proposal,5,9,1950,both,323377
0,RFP,Request for Proposal,10,14,1950,both,143930
0,RFP,Request for Proposal,15,19,1950,both,136157
0,RFP,Request for Proposal,20,24,1950,both,151329
0,RFP,Request for Proposal,25,29,1950,both,145596
0,RFP,Request for Proposal,30,34,1950,both,139469
0,RFP,Request for Proposal,35,39,1950,both,133618
0,RFP,Request for Proposal,40,44,1950,both,129067
0,RFP,Request for Proposal,45,49,1950,both,124377
0,RFP,Request for Proposal,50,54,1950,both,133704
0,RFP,Request for Proposal,55,59,1950,both,149333
0,RFP,Request for Proposal,60,64,1950,both,160697
0,RFP,Request for Proposal,65,69,1950,both,163914
0,RFP,Request for Proposal,70,74,1950,both,154307
0,RFP,Request for Proposal,75,79,1950,both,116233
0,RFP,Request for Proposal,80,84,1950,both,64768
0,RFP,Request for Proposal,85,89,1950,both,19614
0,RFP,Request for Proposal,90,94,1950,both,2078
0,RFP,Request for Proposal,95,120,1950,both,179
0,RFP,Request for Proposal,0,4,1955,both,3005992
0,RFP,Request for Proposal,5,9,1955,both,335649
0,RFP,Request for Proposal,10,14,1955,both,155657
0,RFP,Request for Proposal,15,19,1955,both,148921
0,RFP,Request for Proposal,20,24,1955,both,165307
0,RFP,Request for Proposal,25,29,1955,both,157752
0,RFP,Request for Proposal,30,34,1955,both,151475
0,RFP,Request for Proposal,35,39,1955,both,147739
0,RFP,Request for Proposal,40,44,1955,both,141759
0,RFP,Request for Proposal,45,49,1955,both,134795
0,RFP,Request for Proposal,50,54,1955,both,138455
0,RFP,Request for Proposal,55,59,1955,both,156178
0,RFP,Request for Proposal,60,64,1955,both,178471
0,RFP,Request for Proposal,65,69,1955,both,186143
0,RFP,Request for Proposal,70,74,1955,both,176029
0,RFP,Request for Proposal,75,79,1955,both,134250
0,RFP,Request for Proposal,80,84,1955,both,77552
0,RFP,Request for Proposal,85,89,1955,both,28248
0,RFP,Request for Proposal,90,94,1955,both,4982
0,RFP,Request for Proposal,95,120,1955,both,267
0,RFP,Request for Proposal,0,4,1960,both,3188922
0,RFP,Request for Proposal,5,9,1960,both,369708
0,RFP,Request for Proposal,10,14,1960,both,160740
0,RFP,Request for Proposal,15,19,1960,both,161186
0,RFP,Request for Proposal,20,24,1960,both,180514
0,RFP,Request for Proposal,25,29,1960,both,171930
0,RFP,Request for Proposal,30,34,1960,both,163667
0,RFP,Request for Proposal,35,39,1960,both,159959
0,RFP,Request for Proposal,40,44,1960,both,156395
0,RFP,Request for Proposal,45,49,1960,both,147711
0,RFP,Request for Proposal,50,54,1960,both,149894
0,RFP,Request for Proposal,55,59,1960,both,161364
0,RFP,Request for Proposal,60,64,1960,both,186423
0,RFP,Request for Proposal,65,69,1960,both,206575
0,RFP,Request for Proposal,70,74,1960,both,199955
0,RFP,Request for Proposal,75,79,1960,both,153597
0,RFP,Request for Proposal,80,84,1960,both,89943
0,RFP,Request for Proposal,85,89,1960,both,33783
0,RFP,Request for Proposal,90,94,1960,both,7096
0,RFP,Request for Proposal,95,120,1960,both,649
