country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1950,both,0.209842190000000011763
0,RFP,Request for Proposal,1,4,1950,both,0.052154779999999997808
0,RFP,Request for Proposal,5,9,1950,both,0.01255969000000000009
0,RFP,Request for Proposal,10,14,1950,both,0.006439190000000000018
0,RFP,Request for Proposal,15,19,1950,both,0.006996040000000000245
0,RFP,Request for Proposal,20,24,1950,both,0.00896598000000000013
0,RFP,Request for Proposal,25,29,1950,both,0.009946170000000000705
0,RFP,Request for Proposal,30,34,1950,both,0.011074729999999999644
0,RFP,Request for Proposal,35,39,1950,both,0.012634909999999999197
0,RFP,Request for Proposal,40,44,1950,both,0.014539869999999999878
0,RFP,Request for Proposal,45,49,1950,both,0.016620929999999999038
0,RFP,Request for Proposal,50,54,1950,both,0.020528740000000000182
0,RFP,Request for Proposal,55,59,1950,both,0.027271360000000001433
0,RFP,Request for Proposal,60,64,1950,both,0.038677969999999999018
0,RFP,Request for Proposal,65,69,1950,both,0.057119219999999998327
0,RFP,Request for Proposal,70,74,1950,both,0.088102379999999994031
0,RFP,Request for Proposal,75,79,1950,both,0.132322319999999993279
0,RFP,Request for Proposal,80,84,1950,both,0.19933556999999998971
0,RFP,Request for Proposal,85,89,1950,both,0.292516610000000010228
0,RFP,Request for Proposal,90,94,1950,both,0.412338949999999981877
0,RFP,Request for Proposal,95,99,1950,both,0.539072630000000052597
0,RFP,Request for Proposal,100,120,1950,both,0.651890482398956971899
0,RFP,Request for Proposal,0,0,1951,both,0.208851730000000013199
0,RFP,Request for Proposal,1,4,1951,both,0.051765220000000000677
0,RFP,Request for Proposal,5,9,1951,both,0.012519070000000000198
0,RFP,Request for Proposal,10,14,1951,both,0.006419600000000000133
0,RFP,Request for Proposal,15,19,1951,both,0.006977289999999999708
0,RFP,Request for Proposal,20,24,1951,both,0.008943440000000000417
0,RFP,Request for Proposal,25,29,1951,both,0.009920750000000000748
0,RFP,Request for Proposal,30,34,1951,both,0.011045370000000000535
0,RFP,Request for Proposal,35,39,1951,both,0.012600719999999999282
0,RFP,Request for Proposal,40,44,1951,both,0.014503880000000000244
0,RFP,Request for Proposal,45,49,1951,both,0.016581640000000001656
0,RFP,Request for Proposal,50,54,1951,both,0.020483540000000001469
0,RFP,Request for Proposal,55,59,1951,both,0.027215840000000001558
0,RFP,Request for Proposal,60,64,1951,both,0.03860224000000000294
0,RFP,Request for Proposal,65,69,1951,both,0.057007160000000001165
0,RFP,Request for Proposal,70,74,1951,both,0.087933349999999993463
0,RFP,Request for Proposal,75,79,1951,both,0.13208181999999998868
0,RFP,Request for Proposal,80,84,1951,both,0.199019140000000011037
0,RFP,Request for Proposal,85,89,1951,both,0.291351640000000022823
0,RFP,Request for Proposal,90,94,1951,both,0.410757009999999977978
0,RFP,Request for Proposal,95,99,1951,both,0.536723509999999959241
0,RFP,Request for Proposal,100,120,1951,both,0.657073395098232038158
0,RFP,Request for Proposal,0,0,1952,both,0.206790360000000006391
0,RFP,Request for Proposal,1,4,1952,both,0.050929380000000003259
0,RFP,Request for Proposal,5,9,1952,both,0.012525559999999999819
0,RFP,Request for Proposal,10,14,1952,both,0.006420999999999999625
0,RFP,Request for Proposal,15,19,1952,both,0.006982709999999999612
0,RFP,Request for Proposal,20,24,1952,both,0.008947200000000000639
0,RFP,Request for Proposal,25,29,1952,both,0.009926479999999999679
0,RFP,Request for Proposal,30,34,1952,both,0.011053779999999999162
0,RFP,Request for Proposal,35,39,1952,both,0.012610500000000000181
0,RFP,Request for Proposal,40,44,1952,both,0.014512479999999999478
0,RFP,Request for Proposal,45,49,1952,both,0.016590409999999999879
0,RFP,Request for Proposal,50,54,1952,both,0.020490709999999998786
0,RFP,Request for Proposal,55,59,1952,both,0.027236699999999999106
0,RFP,Request for Proposal,60,64,1952,both,0.03863885000000000236
0,RFP,Request for Proposal,65,69,1952,both,0.057065190000000001747
0,RFP,Request for Proposal,70,74,1952,both,0.088031960000000006317
0,RFP,Request for Proposal,75,79,1952,both,0.132233500000000003816
0,RFP,Request for Proposal,80,84,1952,both,0.199324300000000009803
0,RFP,Request for Proposal,85,89,1952,both,0.290926989999999996428
0,RFP,Request for Proposal,90,94,1952,both,0.411420689999999977804
0,RFP,Request for Proposal,95,99,1952,both,0.536117449999999995391
0,RFP,Request for Proposal,100,120,1952,both,0.657505424419751016707
0,RFP,Request for Proposal,0,0,1953,both,0.205237229999999992724
0,RFP,Request for Proposal,1,4,1953,both,0.050241120000000000223
0,RFP,Request for Proposal,5,9,1953,both,0.012398849999999999455
0,RFP,Request for Proposal,10,14,1953,both,0.006358319999999999771
0,RFP,Request for Proposal,15,19,1953,both,0.006921120000000000223
0,RFP,Request for Proposal,20,24,1953,both,0.008871340000000000128
0,RFP,Request for Proposal,25,29,1953,both,0.009841000000000000789
0,RFP,Request for Proposal,30,34,1953,both,0.010956850000000000617
0,RFP,Request for Proposal,35,39,1953,both,0.012498159999999999478
0,RFP,Request for Proposal,40,44,1953,both,0.014388440000000000604
0,RFP,Request for Proposal,45,49,1953,both,0.016454239999999998451
0,RFP,Request for Proposal,50,54,1953,both,0.020330970000000000292
0,RFP,Request for Proposal,55,59,1953,both,0.027029770000000001573
0,RFP,Request for Proposal,60,64,1953,both,0.038358360000000001067
0,RFP,Request for Proposal,65,69,1953,both,0.056658399999999997654
0,RFP,Request for Proposal,70,74,1953,both,0.087416480000000004735
0,RFP,Request for Proposal,75,79,1953,both,0.131335530000000005879
0,RFP,Request for Proposal,80,84,1953,both,0.198096589999999989073
0,RFP,Request for Proposal,85,89,1953,both,0.288732590000000011177
0,RFP,Request for Proposal,90,94,1953,both,0.408808369999999976496
0,RFP,Request for Proposal,95,99,1953,both,0.532334879999999954769
0,RFP,Request for Proposal,100,120,1953,both,0.654407434068451032694
0,RFP,Request for Proposal,0,0,1954,both,0.203450419999999992937
0,RFP,Request for Proposal,1,4,1954,both,0.049580199999999997884
0,RFP,Request for Proposal,5,9,1954,both,0.012445770000000000097
0,RFP,Request for Proposal,10,14,1954,both,0.006381020000000000268
0,RFP,Request for Proposal,15,19,1954,both,0.006946820000000000252
0,RFP,Request for Proposal,20,24,1954,both,0.00890199000000000025
0,RFP,Request for Proposal,25,29,1954,both,0.009875939999999999719
0,RFP,Request for Proposal,30,34,1954,both,0.010997389999999999249
0,RFP,Request for Proposal,35,39,1954,both,0.012545119999999999882
0,RFP,Request for Proposal,40,44,1954,both,0.014440200000000000258
0,RFP,Request for Proposal,45,49,1954,both,0.016513050000000001338
0,RFP,Request for Proposal,50,54,1954,both,0.020395190000000000541
0,RFP,Request for Proposal,55,59,1954,both,0.027122050000000001713
0,RFP,Request for Proposal,60,64,1954,both,0.038491740000000003452
0,RFP,Request for Proposal,65,69,1954,both,0.05685344999999999982
0,RFP,Request for Proposal,70,74,1954,both,0.087724720000000006026
0,RFP,Request for Proposal,75,79,1954,both,0.131794760000000010791
0,RFP,Request for Proposal,80,84,1954,both,0.198821080000000011134
0,RFP,Request for Proposal,85,89,1954,both,0.289646320000000012662
0,RFP,Request for Proposal,90,94,1954,both,0.409117249999999987864
0,RFP,Request for Proposal,95,99,1954,both,0.533055139999999982869
0,RFP,Request for Proposal,100,120,1954,both,0.657159755536571021928
0,RFP,Request for Proposal,0,0,1955,both,0.201936460000000012061
0,RFP,Request for Proposal,1,4,1955,both,0.048922889999999996657
0,RFP,Request for Proposal,5,9,1955,both,0.012336780000000000315
0,RFP,Request for Proposal,10,14,1955,both,0.00632676999999999979
0,RFP,Request for Proposal,15,19,1955,both,0.006893589999999999787
0,RFP,Request for Proposal,20,24,1955,both,0.008836880000000000082
0,RFP,Request for Proposal,25,29,1955,both,0.009802119999999999236
0,RFP,Request for Proposal,30,34,1955,both,0.010913600000000000731
0,RFP,Request for Proposal,35,39,1955,both,0.012448070000000000315
0,RFP,Request for Proposal,40,44,1955,both,0.014333320000000000088
0,RFP,Request for Proposal,45,49,1955,both,0.016395489999999998676
0,RFP,Request for Proposal,50,54,1955,both,0.020258809999999998624
0,RFP,Request for Proposal,55,59,1955,both,0.026939959999999998908
0,RFP,Request for Proposal,60,64,1955,both,0.038247250000000003467
0,RFP,Request for Proposal,65,69,1955,both,0.05649915999999999966
0,RFP,Request for Proposal,70,74,1955,both,0.087186410000000005849
0,RFP,Request for Proposal,75,79,1955,both,0.13101371000000000544
0,RFP,Request for Proposal,80,84,1955,both,0.197710469999999999269
0,RFP,Request for Proposal,85,89,1955,both,0.288221510000000014085
0,RFP,Request for Proposal,90,94,1955,both,0.406184170000000011047
0,RFP,Request for Proposal,95,99,1955,both,0.529069169999999977527
0,RFP,Request for Proposal,100,120,1955,both,0.653338560041814009338
0,RFP,Request for Proposal,0,0,1956,both,0.200682539999999992597
0,RFP,Request for Proposal,1,4,1956,both,0.048518850000000002254
0,RFP,Request for Proposal,5,9,1956,both,0.012368199999999999333
0,RFP,Request for Proposal,10,14,1956,both,0.006344100000000000086
0,RFP,Request for Proposal,15,19,1956,both,0.006912159999999999659
0,RFP,Request for Proposal,20,24,1956,both,0.008862929999999999767
0,RFP,Request for Proposal,25,29,1956,both,0.009829759999999999887
0,RFP,Request for Proposal,30,34,1956,both,0.010943259999999999793
0,RFP,Request for Proposal,35,39,1956,both,0.012482180000000000705
0,RFP,Request for Proposal,40,44,1956,both,0.014375310000000000518
0,RFP,Request for Proposal,45,49,1956,both,0.016445930000000000964
0,RFP,Request for Proposal,50,54,1956,both,0.020317539999999998518
0,RFP,Request for Proposal,55,59,1956,both,0.027013419999999999793
0,RFP,Request for Proposal,60,64,1956,both,0.038351099999999999079
0,RFP,Request for Proposal,65,69,1956,both,0.056644279999999998243
0,RFP,Request for Proposal,70,74,1956,both,0.087410870000000001623
0,RFP,Request for Proposal,75,79,1956,both,0.131348639999999988737
0,RFP,Request for Proposal,80,84,1956,both,0.198204660000000004727
0,RFP,Request for Proposal,85,89,1956,both,0.289098499999999980492
0,RFP,Request for Proposal,90,94,1956,both,0.406306349999999982803
0,RFP,Request for Proposal,95,99,1956,both,0.529105779999999970009
0,RFP,Request for Proposal,100,120,1956,both,0.653338560041814009338
0,RFP,Request for Proposal,0,0,1957,both,0.199568109999999993009
0,RFP,Request for Proposal,1,4,1957,both,0.048018289999999998197
0,RFP,Request for Proposal,5,9,1957,both,0.012253919999999999743
0,RFP,Request for Proposal,10,14,1957,both,0.006286710000000000041
0,RFP,Request for Proposal,15,19,1957,both,0.006855380000000000328
0,RFP,Request for Proposal,20,24,1957,both,0.008792919999999999209
0,RFP,Request for Proposal,25,29,1957,both,0.009750750000000000736
0,RFP,Request for Proposal,30,34,1957,both,0.010853800000000000253
0,RFP,Request for Proposal,35,39,1957,both,0.012378639999999999782
0,RFP,Request for Proposal,40,44,1957,both,0.01426082000000000044
0,RFP,Request for Proposal,45,49,1957,both,0.016318340000000000622
0,RFP,Request for Proposal,50,54,1957,both,0.020173170000000000684
0,RFP,Request for Proposal,55,59,1957,both,0.026814740000000000103
0,RFP,Request for Proposal,60,64,1957,both,0.038088619999999996646
0,RFP,Request for Proposal,65,69,1957,both,0.056266690000000001148
0,RFP,Request for Proposal,70,74,1957,both,0.086834190000000005538
0,RFP,Request for Proposal,75,79,1957,both,0.130521030000000010096
0,RFP,Request for Proposal,80,84,1957,both,0.197003879999999992334
0,RFP,Request for Proposal,85,89,1957,both,0.2876577900000000243
0,RFP,Request for Proposal,90,94,1957,both,0.403489260000000016237
0,RFP,Request for Proposal,95,99,1957,both,0.526906459999999965405
0,RFP,Request for Proposal,100,120,1957,both,0.649561545956478969543
0,RFP,Request for Proposal,0,0,1958,both,0.198414640000000003228
0,RFP,Request for Proposal,1,4,1958,both,0.047615539999999997867
0,RFP,Request for Proposal,5,9,1958,both,0.012267159999999999176
0,RFP,Request for Proposal,10,14,1958,both,0.006290989999999999777
0,RFP,Request for Proposal,15,19,1958,both,0.00686214000000000008
0,RFP,Request for Proposal,20,24,1958,both,0.008796949999999999562
0,RFP,Request for Proposal,25,29,1958,both,0.009757679999999999479
0,RFP,Request for Proposal,30,34,1958,both,0.010864320000000000227
0,RFP,Request for Proposal,35,39,1958,both,0.012390750000000000722
0,RFP,Request for Proposal,40,44,1958,both,0.014271229999999999333
0,RFP,Request for Proposal,45,49,1958,both,0.016326730000000001103
0,RFP,Request for Proposal,50,54,1958,both,0.02018771000000000107
0,RFP,Request for Proposal,55,59,1958,both,0.026833139999999998382
0,RFP,Request for Proposal,60,64,1958,both,0.038132630000000000692
0,RFP,Request for Proposal,65,69,1958,both,0.056346680000000003152
0,RFP,Request for Proposal,70,74,1958,both,0.086966950000000001197
0,RFP,Request for Proposal,75,79,1958,both,0.130755070000000001018
0,RFP,Request for Proposal,80,84,1958,both,0.197381820000000013371
0,RFP,Request for Proposal,85,89,1958,both,0.288473109999999977049
0,RFP,Request for Proposal,90,94,1958,both,0.404256869999999990384
0,RFP,Request for Proposal,95,99,1958,both,0.528058589999999994369
0,RFP,Request for Proposal,100,120,1958,both,0.650406504065040969031
0,RFP,Request for Proposal,0,0,1959,both,0.196702020000000005195
0,RFP,Request for Proposal,1,4,1959,both,0.046898769999999999347
0,RFP,Request for Proposal,5,9,1959,both,0.012206730000000000705
0,RFP,Request for Proposal,10,14,1959,both,0.006258969999999999985
0,RFP,Request for Proposal,15,19,1959,both,0.006832030000000000221
0,RFP,Request for Proposal,20,24,1959,both,0.008757440000000000016
0,RFP,Request for Proposal,25,29,1959,both,0.009714320000000000246
0,RFP,Request for Proposal,30,34,1959,both,0.010816690000000000332
0,RFP,Request for Proposal,35,39,1959,both,0.012335610000000000325
0,RFP,Request for Proposal,40,44,1959,both,0.01420770000000000019
0,RFP,Request for Proposal,45,49,1959,both,0.016254000000000001086
0,RFP,Request for Proposal,50,54,1959,both,0.020106360000000000204
0,RFP,Request for Proposal,55,59,1959,both,0.026722180000000001626
