country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1950,both,0.019030000000000001775
0,RFP,Request for Proposal,0,0,1951,both,0.018999999999999999528
0,RFP,Request for Proposal,0,0,1952,both,0.018700000000000001343
0,RFP,Request for Proposal,0,0,1953,both,0.018409999999999999282
0,RFP,Request for Proposal,0,0,1954,both,0.018600000000000001948
0,RFP,Request for Proposal,0,0,1955,both,0.018810000000000000331
0,RFP,Request for Proposal,0,0,1956,both,0.018900000000000000133
0,RFP,Request for Proposal,0,0,1957,both,0.019030000000000001775
0,RFP,Request for Proposal,0,0,1958,both,0.018409999999999999282
0,RFP,Request for Proposal,0,0,1959,both,0.019599999999999999367
0,RFP,Request for Proposal,0,0,1960,both,0.020139999999999998181
0,RFP,Request for Proposal,0,0,1961,both,0.02069999999999999965
0,RFP,Request for Proposal,0,0,1962,both,0.021000000000000001305
0,RFP,Request for Proposal,0,0,1963,both,0.021289999999999999897
0,RFP,Request for Proposal,0,0,1964,both,0.021480000000000002564
0,RFP,Request for Proposal,0,0,1965,both,0.021819999999999999118
0,RFP,Request for Proposal,0,0,1966,both,0.021549999999999999711
0,RFP,Request for Proposal,0,0,1967,both,0.020600000000000000255
0,RFP,Request for Proposal,0,0,1968,both,0.021309999999999999082
0,RFP,Request for Proposal,0,0,1969,both,0.021480000000000002564
0,RFP,Request for Proposal,0,0,1970,both,0.022480000000000003452
0,RFP,Request for Proposal,0,0,1971,both,0.022649999999999999994
0,RFP,Request for Proposal,0,0,1972,both,0.023809999999999997833
0,RFP,Request for Proposal,0,0,1973,both,0.024799999999999999128
0,RFP,Request for Proposal,0,0,1974,both,0.026600000000000002115
0,RFP,Request for Proposal,0,0,1975,both,0.027999999999999997113
0,RFP,Request for Proposal,0,0,1976,both,0.028680000000000000632
0,RFP,Request for Proposal,0,0,1977,both,0.030169999999999998902
0,RFP,Request for Proposal,0,0,1978,both,0.030290000000000000951
0,RFP,Request for Proposal,0,0,1979,both,0.030459999999999997494
0,RFP,Request for Proposal,0,0,1980,both,0.030810000000000000581
0,RFP,Request for Proposal,0,0,1981,both,0.029280000000000000471
0,RFP,Request for Proposal,0,0,1982,both,0.028750000000000001249
