country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,4,1885,both,5922290
0,RFP,Request for Proposal,0,4,1890,both,10461986
0,RFP,Request for Proposal,5,9,1890,both,4872717
0,RFP,Request for Proposal,0,4,1895,both,11720551
0,RFP,Request for Proposal,5,9,1895,both,8897704
0,RFP,Request for Proposal,10,14,1895,both,4655496
0,RFP,Request for Proposal,0,4,1900,both,12377475
0,RFP,Request for Proposal,5,9,1900,both,9975495
0,RFP,Request for Proposal,10,14,1900,both,8532140
0,RFP,Request for Proposal,15,19,1900,both,4515111
0,RFP,Request for Proposal,0,4,1905,both,13036975
0,RFP,Request for Proposal,5,9,1905,both,10551829
0,RFP,Request for Proposal,10,14,1905,both,9566419
0,RFP,Request for Proposal,15,19,1905,both,8274412
0,RFP,Request for Proposal,20,24,1905,both,4363210
0,RFP,Request for Proposal,0,4,1910,both,14358213
0,RFP,Request for Proposal,5,9,1910,both,11096352
0,RFP,Request for Proposal,10,14,1910,both,10120910
0,RFP,Request for Proposal,15,19,1910,both,9277436
0,RFP,Request for Proposal,20,24,1910,both,7988603
0,RFP,Request for Proposal,25,29,1910,both,4189018
0,RFP,Request for Proposal,0,4,1915,both,16071814
0,RFP,Request for Proposal,5,9,1915,both,12220025
0,RFP,Request for Proposal,10,14,1915,both,10641358
0,RFP,Request for Proposal,15,19,1915,both,9815141
0,RFP,Request for Proposal,20,24,1915,both,8956816
0,RFP,Request for Proposal,25,29,1915,both,7665419
0,RFP,Request for Proposal,30,34,1915,both,4002731
0,RFP,Request for Proposal,0,4,1920,both,18118397
0,RFP,Request for Proposal,5,9,1920,both,13669028
0,RFP,Request for Proposal,10,14,1920,both,11718865
0,RFP,Request for Proposal,15,19,1920,both,10319878
0,RFP,Request for Proposal,20,24,1920,both,9475501
0,RFP,Request for Proposal,25,29,1920,both,8594375
0,RFP,Request for Proposal,30,34,1920,both,7318424
0,RFP,Request for Proposal,35,39,1920,both,3795923
0,RFP,Request for Proposal,0,4,1925,both,20097388
0,RFP,Request for Proposal,5,9,1925,both,15416314
0,RFP,Request for Proposal,10,14,1925,both,13107467
0,RFP,Request for Proposal,15,19,1925,both,11364851
0,RFP,Request for Proposal,20,24,1925,both,9963194
0,RFP,Request for Proposal,25,29,1925,both,9091828
0,RFP,Request for Proposal,30,34,1925,both,8205190
0,RFP,Request for Proposal,35,39,1925,both,6932589
0,RFP,Request for Proposal,40,44,1925,both,3565655
0,RFP,Request for Proposal,0,4,1930,both,22252961
0,RFP,Request for Proposal,5,9,1930,both,17103053
0,RFP,Request for Proposal,10,14,1930,both,14783659
0,RFP,Request for Proposal,15,19,1930,both,12711517
0,RFP,Request for Proposal,20,24,1930,both,10972085
0,RFP,Request for Proposal,25,29,1930,both,9560014
0,RFP,Request for Proposal,30,34,1930,both,8679745
0,RFP,Request for Proposal,35,39,1930,both,7772411
0,RFP,Request for Proposal,40,44,1930,both,6503366
0,RFP,Request for Proposal,45,49,1930,both,3314309
0,RFP,Request for Proposal,0,4,1935,both,24779001
0,RFP,Request for Proposal,5,9,1935,both,18935710
0,RFP,Request for Proposal,10,14,1935,both,16401473
0,RFP,Request for Proposal,15,19,1935,both,14337072
0,RFP,Request for Proposal,20,24,1935,both,12272443
0,RFP,Request for Proposal,25,29,1935,both,10528102
0,RFP,Request for Proposal,30,34,1935,both,9127063
0,RFP,Request for Proposal,35,39,1935,both,8221482
0,RFP,Request for Proposal,40,44,1935,both,7290982
0,RFP,Request for Proposal,45,49,1935,both,6036584
0,RFP,Request for Proposal,50,54,1935,both,3038669
0,RFP,Request for Proposal,0,4,1940,both,27508669
0,RFP,Request for Proposal,5,9,1940,both,21082514
0,RFP,Request for Proposal,10,14,1940,both,18158774
0,RFP,Request for Proposal,15,19,1940,both,15906001
0,RFP,Request for Proposal,20,24,1940,both,13841686
0,RFP,Request for Proposal,25,29,1940,both,11775959
0,RFP,Request for Proposal,30,34,1940,both,10051339
0,RFP,Request for Proposal,35,39,1940,both,8645628
0,RFP,Request for Proposal,40,44,1940,both,7711728
0,RFP,Request for Proposal,45,49,1940,both,6767469
0,RFP,Request for Proposal,50,54,1940,both,5520484
0,RFP,Request for Proposal,55,59,1940,both,2717546
0,RFP,Request for Proposal,0,4,1945,both,30225394
0,RFP,Request for Proposal,5,9,1945,both,23410468
0,RFP,Request for Proposal,10,14,1945,both,20217211
0,RFP,Request for Proposal,15,19,1945,both,17610214
0,RFP,Request for Proposal,20,24,1945,both,15356340
0,RFP,Request for Proposal,25,29,1945,both,13281628
0,RFP,Request for Proposal,30,34,1945,both,11242878
0,RFP,Request for Proposal,35,39,1945,both,9521196
0,RFP,Request for Proposal,40,44,1945,both,8110065
0,RFP,Request for Proposal,45,49,1945,both,7157516
0,RFP,Request for Proposal,50,54,1945,both,6188559
0,RFP,Request for Proposal,55,59,1945,both,4916171
0,RFP,Request for Proposal,60,64,1945,both,2329812
0,RFP,Request for Proposal,0,4,1950,both,6169033
0,RFP,Request for Proposal,5,9,1950,both,4979305
0,RFP,Request for Proposal,10,14,1950,both,4313317
0,RFP,Request for Proposal,15,19,1950,both,3750539
0,RFP,Request for Proposal,20,24,1950,both,3260676.5
0,RFP,Request for Proposal,25,29,1950,both,2829200.5
0,RFP,Request for Proposal,30,34,1950,both,2424467
0,RFP,Request for Proposal,35,39,1950,both,2024012.5
0,RFP,Request for Proposal,40,44,1950,both,1718542
0,RFP,Request for Proposal,45,49,1950,both,1455215
0,RFP,Request for Proposal,50,54,1950,both,1297150
0,RFP,Request for Proposal,55,59,1950,both,1058009.5
0,RFP,Request for Proposal,60,64,1950,both,793374.5
0,RFP,Request for Proposal,65,69,1950,both,546627
0,RFP,Request for Proposal,70,74,1950,both,333798
0,RFP,Request for Proposal,75,79,1950,both,165258
0,RFP,Request for Proposal,80,84,1950,both,59927.5
0,RFP,Request for Proposal,85,89,1950,both,10015.5
0,RFP,Request for Proposal,90,94,1950,both,857.5
0,RFP,Request for Proposal,95,99,1950,both,43.5
0,RFP,Request for Proposal,100,120,1950,both,0.5
0,RFP,Request for Proposal,0,4,1955,both,6769810.5
0,RFP,Request for Proposal,5,9,1955,both,5267483
0,RFP,Request for Proposal,10,14,1955,both,4773483
0,RFP,Request for Proposal,15,19,1955,both,4174924
0,RFP,Request for Proposal,20,24,1955,both,3603150.5
0,RFP,Request for Proposal,25,29,1955,both,3110044.5
0,RFP,Request for Proposal,30,34,1955,both,2686689.5
0,RFP,Request for Proposal,35,39,1955,both,2286884
0,RFP,Request for Proposal,40,44,1955,both,1892527
0,RFP,Request for Proposal,45,49,1955,both,1591354
0,RFP,Request for Proposal,50,54,1955,both,1328468.5
0,RFP,Request for Proposal,55,59,1955,both,1153661
0,RFP,Request for Proposal,60,64,1955,both,900651
0,RFP,Request for Proposal,65,69,1955,both,628289.5
0,RFP,Request for Proposal,70,74,1955,both,383692.5
0,RFP,Request for Proposal,75,79,1955,both,194660
0,RFP,Request for Proposal,80,84,1955,both,73516
0,RFP,Request for Proposal,85,89,1955,both,18017
0,RFP,Request for Proposal,90,94,1955,both,1838
0,RFP,Request for Proposal,95,99,1955,both,78.5
0,RFP,Request for Proposal,100,120,1955,both,1
0,RFP,Request for Proposal,0,4,1960,both,7567826.5
0,RFP,Request for Proposal,5,9,1960,both,5802902.5
0,RFP,Request for Proposal,10,14,1960,both,5052417.5
0,RFP,Request for Proposal,15,19,1960,both,4619402
0,RFP,Request for Proposal,20,24,1960,both,4001199.5
