country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1950,both,0.070349977173507077799
0,RFP,Request for Proposal,0,0,1951,both,0.070058598501255203717
0,RFP,Request for Proposal,0,0,1952,both,0.069451368407375937974
0,RFP,Request for Proposal,0,0,1953,both,0.068992886743294568053
0,RFP,Request for Proposal,0,0,1954,both,0.068464428311467651067
0,RFP,Request for Proposal,0,0,1955,both,0.068015506315111079472
0,RFP,Request for Proposal,0,0,1956,both,0.067643061660552908365
0,RFP,Request for Proposal,0,0,1957,both,0.067311914770565861588
0,RFP,Request for Proposal,0,0,1958,both,0.06696853150589106296
0,RFP,Request for Proposal,0,0,1959,both,0.066457662862677790994
0,RFP,Request for Proposal,0,0,1960,both,0.065921174309962055071
0,RFP,Request for Proposal,0,0,1961,both,0.065393098264844143341
0,RFP,Request for Proposal,0,0,1962,both,0.064848579591239574604
0,RFP,Request for Proposal,0,0,1963,both,0.063928174782695898481
0,RFP,Request for Proposal,0,0,1964,both,0.063454397650254845686
0,RFP,Request for Proposal,0,0,1965,both,0.063100307557728274599
0,RFP,Request for Proposal,0,0,1966,both,0.062805869791804455615
0,RFP,Request for Proposal,0,0,1967,both,0.063397039643906055728
0,RFP,Request for Proposal,0,0,1968,both,0.063209792165148659393
0,RFP,Request for Proposal,0,0,1969,both,0.063428056687614808862
0,RFP,Request for Proposal,0,0,1970,both,0.063174396774637917029
0,RFP,Request for Proposal,0,0,1971,both,0.062244932546292514042
0,RFP,Request for Proposal,0,0,1972,both,0.061261109158047798162
0,RFP,Request for Proposal,0,0,1973,both,0.060297674176872269325
0,RFP,Request for Proposal,0,0,1974,both,0.059315975766706691141
0,RFP,Request for Proposal,0,0,1975,both,0.058360942820423318544
0,RFP,Request for Proposal,0,0,1976,both,0.057406210811953670148
0,RFP,Request for Proposal,0,0,1977,both,0.056428557627387083973
0,RFP,Request for Proposal,0,0,1978,both,0.055482124606711050174
0,RFP,Request for Proposal,0,0,1979,both,0.054403322581142180003
0,RFP,Request for Proposal,0,0,1980,both,0.05346511503996139586
0,RFP,Request for Proposal,0,0,1981,both,0.052425514312224710811
0,RFP,Request for Proposal,0,0,1982,both,0.05164041032406269105
0,RFP,Request for Proposal,0,0,1983,both,0.050941758937130980633
0,RFP,Request for Proposal,0,0,1984,both,0.050422276257184386883
0,RFP,Request for Proposal,0,0,1985,both,0.05006964850043497256
0,RFP,Request for Proposal,0,0,1986,both,0.04980397230304471623
0,RFP,Request for Proposal,0,0,1987,both,0.049706246285642317895
