country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,10,14,1950,both,132052
0,RFP,Request for Proposal,15,19,1950,both,1169356
0,RFP,Request for Proposal,20,24,1950,both,2033029
0,RFP,Request for Proposal,25,29,1950,both,2070965
0,RFP,Request for Proposal,30,34,1950,both,1638498
0,RFP,Request for Proposal,35,39,1950,both,1053892
0,RFP,Request for Proposal,40,44,1950,both,534783
0,RFP,Request for Proposal,45,49,1950,both,172677
0,RFP,Request for Proposal,50,54,1950,both,10421
0,RFP,Request for Proposal,10,14,1955,both,158141
0,RFP,Request for Proposal,15,19,1955,both,1391950
0,RFP,Request for Proposal,20,24,1955,both,2215585
0,RFP,Request for Proposal,25,29,1955,both,2245520
0,RFP,Request for Proposal,30,34,1955,both,1779977
0,RFP,Request for Proposal,35,39,1955,both,1162417
0,RFP,Request for Proposal,40,44,1955,both,586119
0,RFP,Request for Proposal,45,49,1955,both,188432
0,RFP,Request for Proposal,50,54,1955,both,11058
0,RFP,Request for Proposal,10,14,1960,both,243620
0,RFP,Request for Proposal,15,19,1960,both,1874727
0,RFP,Request for Proposal,20,24,1960,both,2470907
0,RFP,Request for Proposal,25,29,1960,both,2357203
0,RFP,Request for Proposal,30,34,1960,both,1864696
0,RFP,Request for Proposal,35,39,1960,both,1209439
0,RFP,Request for Proposal,40,44,1960,both,621350
0,RFP,Request for Proposal,45,49,1960,both,201682
0,RFP,Request for Proposal,50,54,1960,both,11463
0,RFP,Request for Proposal,10,14,1965,both,275842
0,RFP,Request for Proposal,15,19,1965,both,2044065
0,RFP,Request for Proposal,20,24,1965,both,2953883
0,RFP,Request for Proposal,25,29,1965,both,2589290
0,RFP,Request for Proposal,30,34,1965,both,2029901
0,RFP,Request for Proposal,35,39,1965,both,1317827
0,RFP,Request for Proposal,40,44,1965,both,688976
0,RFP,Request for Proposal,45,49,1965,both,216814
0,RFP,Request for Proposal,50,54,1965,both,12240
0,RFP,Request for Proposal,10,14,1970,both,347180
0,RFP,Request for Proposal,15,19,1970,both,2454435
0,RFP,Request for Proposal,20,24,1970,both,3191384
0,RFP,Request for Proposal,25,29,1970,both,2968679
0,RFP,Request for Proposal,30,34,1970,both,2220067
0,RFP,Request for Proposal,35,39,1970,both,1463940
0,RFP,Request for Proposal,40,44,1970,both,788887
0,RFP,Request for Proposal,45,49,1970,both,295250
0,RFP,Request for Proposal,50,54,1970,both,18101
0,RFP,Request for Proposal,10,14,1975,both,401467
0,RFP,Request for Proposal,15,19,1975,both,2855243
0,RFP,Request for Proposal,20,24,1975,both,3830461
0,RFP,Request for Proposal,25,29,1975,both,3346848
0,RFP,Request for Proposal,30,34,1975,both,2647165
0,RFP,Request for Proposal,35,39,1975,both,1640825
0,RFP,Request for Proposal,40,44,1975,both,912559
0,RFP,Request for Proposal,45,49,1975,both,364284
0,RFP,Request for Proposal,50,54,1975,both,23129
0,RFP,Request for Proposal,10,14,1980,both,367208
0,RFP,Request for Proposal,15,19,1980,both,2932698
0,RFP,Request for Proposal,20,24,1980,both,4486812
0,RFP,Request for Proposal,25,29,1980,both,3982729
0,RFP,Request for Proposal,30,34,1980,both,2965860
0,RFP,Request for Proposal,35,39,1980,both,1933899
0,RFP,Request for Proposal,40,44,1980,both,1003218
0,RFP,Request for Proposal,45,49,1980,both,345928
0,RFP,Request for Proposal,50,54,1980,both,20805
0,RFP,Request for Proposal,10,14,1985,both,372707
0,RFP,Request for Proposal,15,19,1985,both,3139191
0,RFP,Request for Proposal,20,24,1985,both,4773413
0,RFP,Request for Proposal,25,29,1985,both,4422588
0,RFP,Request for Proposal,30,34,1985,both,3268734
0,RFP,Request for Proposal,35,39,1985,both,2052024
0,RFP,Request for Proposal,40,44,1985,both,1085754
0,RFP,Request for Proposal,45,49,1985,both,388840
0,RFP,Request for Proposal,50,54,1985,both,23581
0,RFP,Request for Proposal,10,14,1990,both,413622
0,RFP,Request for Proposal,15,19,1990,both,3622487
0,RFP,Request for Proposal,20,24,1990,both,5256212
0,RFP,Request for Proposal,25,29,1990,both,4911565
0,RFP,Request for Proposal,30,34,1990,both,3798210
0,RFP,Request for Proposal,35,39,1990,both,2354071
0,RFP,Request for Proposal,40,44,1990,both,1151029
0,RFP,Request for Proposal,45,49,1990,both,390650
0,RFP,Request for Proposal,50,54,1990,both,22990
0,RFP,Request for Proposal,10,14,1995,both,374799
0,RFP,Request for Proposal,15,19,1995,both,4023801
0,RFP,Request for Proposal,20,24,1995,both,6212170
0,RFP,Request for Proposal,25,29,1995,both,5630564
0,RFP,Request for Proposal,30,34,1995,both,4268451
0,RFP,Request for Proposal,35,39,1995,both,2620363
0,RFP,Request for Proposal,40,44,1995,both,1180399
0,RFP,Request for Proposal,45,49,1995,both,320654
0,RFP,Request for Proposal,50,54,1995,both,17433
0,RFP,Request for Proposal,10,14,2000,both,392214
0,RFP,Request for Proposal,15,19,2000,both,4471374
0,RFP,Request for Proposal,20,24,2000,both,6927318
0,RFP,Request for Proposal,25,29,2000,both,6560532
0,RFP,Request for Proposal,30,34,2000,both,4892067
0,RFP,Request for Proposal,35,39,2000,both,3027811
0,RFP,Request for Proposal,40,44,2000,both,1436331
0,RFP,Request for Proposal,45,49,2000,both,434969
0,RFP,Request for Proposal,50,54,2000,both,23828
0,RFP,Request for Proposal,10,14,2005,both,360564
0,RFP,Request for Proposal,15,19,2005,both,4653556
0,RFP,Request for Proposal,20,24,2005,both,7559022
0,RFP,Request for Proposal,25,29,2005,both,7604927
0,RFP,Request for Proposal,30,34,2005,both,5851926
0,RFP,Request for Proposal,35,39,2005,both,3479647
0,RFP,Request for Proposal,40,44,2005,both,1638578
0,RFP,Request for Proposal,45,49,2005,both,552818
0,RFP,Request for Proposal,50,54,2005,both,32284
0,RFP,Request for Proposal,10,14,2010,both,342048
0,RFP,Request for Proposal,15,19,2010,both,5337482
0,RFP,Request for Proposal,20,24,2010,both,8506395
0,RFP,Request for Proposal,25,29,2010,both,8190385
0,RFP,Request for Proposal,30,34,2010,both,6579885
0,RFP,Request for Proposal,35,39,2010,both,3879662
0,RFP,Request for Proposal,40,44,2010,both,1649066
0,RFP,Request for Proposal,45,49,2010,both,479457
0,RFP,Request for Proposal,50,54,2010,both,26178
0,RFP,Request for Proposal,10,14,2015,both,283207
0,RFP,Request for Proposal,15,19,2015,both,5249923
0,RFP,Request for Proposal,20,24,2015,both,9482122
0,RFP,Request for Proposal,25,29,2015,both,8835799
0,RFP,Request for Proposal,30,34,2015,both,6921466
0,RFP,Request for Proposal,35,39,2015,both,4350658
0,RFP,Request for Proposal,40,44,2015,both,1810655
0,RFP,Request for Proposal,45,49,2015,both,473393
0,RFP,Request for Proposal,50,54,2015,both,24936
0,RFP,Request for Proposal,10,14,2020,both,278973
0,RFP,Request for Proposal,15,19,2020,both,5758269
0,RFP,Request for Proposal,20,24,2020,both,10534580
0,RFP,Request for Proposal,25,29,2020,both,9579601
0,RFP,Request for Proposal,30,34,2020,both,7100002
0,RFP,Request for Proposal,35,39,2020,both,4421455
0,RFP,Request for Proposal,40,44,2020,both,1887992
0,RFP,Request for Proposal,45,49,2020,both,489465
0,RFP,Request for Proposal,50,54,2020,both,25696
0,RFP,Request for Proposal,10,14,2025,both,244660
0,RFP,Request for Proposal,15,19,2025,both,5974850
0,RFP,Request for Proposal,20,24,2025,both,11764799
0,RFP,Request for Proposal,25,29,2025,both,10451029
0,RFP,Request for Proposal,30,34,2025,both,7456658
0,RFP,Request for Proposal,35,39,2025,both,4401230
0,RFP,Request for Proposal,40,44,2025,both,1790003
0,RFP,Request for Proposal,45,49,2025,both,455476
0,RFP,Request for Proposal,50,54,2025,both,24901
0,RFP,Request for Proposal,10,14,2030,both,205598
0,RFP,Request for Proposal,15,19,2030,both,5848985
0,RFP,Request for Proposal,20,24,2030,both,12583247
0,RFP,Request for Proposal,25,29,2030,both,11350512
0,RFP,Request for Proposal,30,34,2030,both,7896198
0,RFP,Request for Proposal,35,39,2030,both,4512871
0,RFP,Request for Proposal,40,44,2030,both,1684974
0,RFP,Request for Proposal,45,49,2030,both,393445
0,RFP,Request for Proposal,50,54,2030,both,22186
0,RFP,Request for Proposal,10,14,2035,both,171808
0,RFP,Request for Proposal,15,19,2035,both,5578146
0,RFP,Request for Proposal,20,24,2035,both,12783511
0,RFP,Request for Proposal,25,29,2035,both,11926585
0,RFP,Request for Proposal,30,34,2035,both,8404931
0,RFP,Request for Proposal,35,39,2035,both,4706258
0,RFP,Request for Proposal,40,44,2035,both,1648061
0,RFP,Request for Proposal,45,49,2035,both,341245
0,RFP,Request for Proposal,50,54,2035,both,18584
0,RFP,Request for Proposal,10,14,2040,both,143019
0,RFP,Request for Proposal,15,19,2040,both,5316290
0,RFP,Request for Proposal,20,24,2040,both,12849870
0,RFP,Request for Proposal,25,29,2040,both,12101204
0,RFP,Request for Proposal,30,34,2040,both,8787773
0,RFP,Request for Proposal,35,39,2040,both,4990308
0,RFP,Request for Proposal,40,44,2040,both,1664459
0,RFP,Request for Proposal,45,49,2040,both,311707
0,RFP,Request for Proposal,50,54,2040,both,16054
0,RFP,Request for Proposal,10,14,2045,both,117168
0,RFP,Request for Proposal,15,19,2045,both,5000773
0,RFP,Request for Proposal,20,24,2045,both,12821544
0,RFP,Request for Proposal,25,29,2045,both,12173037
0,RFP,Request for Proposal,30,34,2045,both,8868124
0,RFP,Request for Proposal,35,39,2045,both,5179940
0,RFP,Request for Proposal,40,44,2045,both,1701480
0,RFP,Request for Proposal,45,49,2045,both,293488
