country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1885,both,424455
0,RFP,Request for Proposal,0,0,1886,both,436428
0,RFP,Request for Proposal,1,1,1886,both,378877
0,RFP,Request for Proposal,0,0,1887,both,448080
0,RFP,Request for Proposal,1,1,1887,both,389564
0,RFP,Request for Proposal,2,2,1887,both,353561
0,RFP,Request for Proposal,0,0,1888,both,460179
0,RFP,Request for Proposal,1,1,1888,both,399965
0,RFP,Request for Proposal,2,2,1888,both,363534
0,RFP,Request for Proposal,3,3,1888,both,337259
0,RFP,Request for Proposal,0,0,1889,both,473190
0,RFP,Request for Proposal,1,1,1889,both,410765
0,RFP,Request for Proposal,2,2,1889,both,373240
0,RFP,Request for Proposal,3,3,1889,both,346772
0,RFP,Request for Proposal,4,4,1889,both,326421
0,RFP,Request for Proposal,0,0,1890,both,486540
0,RFP,Request for Proposal,1,1,1890,both,422379
0,RFP,Request for Proposal,2,2,1890,both,383319
0,RFP,Request for Proposal,3,3,1890,both,356030
0,RFP,Request for Proposal,4,4,1890,both,335628
0,RFP,Request for Proposal,5,5,1890,both,318966
0,RFP,Request for Proposal,0,0,1891,both,499374
0,RFP,Request for Proposal,1,1,1891,both,434295
0,RFP,Request for Proposal,2,2,1891,both,394157
0,RFP,Request for Proposal,3,3,1891,both,365645
0,RFP,Request for Proposal,4,4,1891,both,344588
0,RFP,Request for Proposal,5,5,1891,both,327962
0,RFP,Request for Proposal,6,6,1891,both,313632
0,RFP,Request for Proposal,0,0,1892,both,511678
0,RFP,Request for Proposal,1,1,1892,both,445751
0,RFP,Request for Proposal,2,2,1892,both,405277
0,RFP,Request for Proposal,3,3,1892,both,375983
0,RFP,Request for Proposal,4,4,1892,both,353894
0,RFP,Request for Proposal,5,5,1892,both,336718
0,RFP,Request for Proposal,6,6,1892,both,322478
0,RFP,Request for Proposal,7,7,1892,both,309640
0,RFP,Request for Proposal,0,0,1893,both,523846
0,RFP,Request for Proposal,1,1,1893,both,456734
0,RFP,Request for Proposal,2,2,1893,both,415967
0,RFP,Request for Proposal,3,3,1893,both,386590
0,RFP,Request for Proposal,4,4,1893,both,363900
0,RFP,Request for Proposal,5,5,1893,both,345811
0,RFP,Request for Proposal,6,6,1893,both,331087
0,RFP,Request for Proposal,7,7,1893,both,318373
0,RFP,Request for Proposal,8,8,1893,both,306502
0,RFP,Request for Proposal,0,0,1894,both,535647
0,RFP,Request for Proposal,1,1,1894,both,467595
0,RFP,Request for Proposal,2,2,1894,both,426216
0,RFP,Request for Proposal,3,3,1894,both,396787
0,RFP,Request for Proposal,4,4,1894,both,374166
0,RFP,Request for Proposal,5,5,1894,both,355589
0,RFP,Request for Proposal,6,6,1894,both,340028
0,RFP,Request for Proposal,7,7,1894,both,326872
0,RFP,Request for Proposal,8,8,1894,both,315147
0,RFP,Request for Proposal,9,9,1894,both,303912
0,RFP,Request for Proposal,0,0,1895,both,545733
0,RFP,Request for Proposal,1,1,1895,both,478129
0,RFP,Request for Proposal,2,2,1895,both,436352
0,RFP,Request for Proposal,3,3,1895,both,406564
0,RFP,Request for Proposal,4,4,1895,both,384036
0,RFP,Request for Proposal,5,5,1895,both,365620
0,RFP,Request for Proposal,6,6,1895,both,349643
0,RFP,Request for Proposal,7,7,1895,both,335700
0,RFP,Request for Proposal,8,8,1895,both,323559
0,RFP,Request for Proposal,9,9,1895,both,312484
0,RFP,Request for Proposal,10,10,1895,both,301673
0,RFP,Request for Proposal,0,0,1896,both,556652
0,RFP,Request for Proposal,1,1,1896,both,487132
0,RFP,Request for Proposal,2,2,1896,both,446182
0,RFP,Request for Proposal,3,3,1896,both,416232
0,RFP,Request for Proposal,4,4,1896,both,393498
0,RFP,Request for Proposal,5,5,1896,both,375265
0,RFP,Request for Proposal,6,6,1896,both,359506
0,RFP,Request for Proposal,7,7,1896,both,345192
0,RFP,Request for Proposal,8,8,1896,both,332298
0,RFP,Request for Proposal,9,9,1896,both,320825
0,RFP,Request for Proposal,10,10,1896,both,310182
0,RFP,Request for Proposal,11,11,1896,both,299657
0,RFP,Request for Proposal,0,0,1897,both,568607
0,RFP,Request for Proposal,1,1,1897,both,496879
0,RFP,Request for Proposal,2,2,1897,both,454583
0,RFP,Request for Proposal,3,3,1897,both,425609
0,RFP,Request for Proposal,4,4,1897,both,402856
0,RFP,Request for Proposal,5,5,1897,both,384511
0,RFP,Request for Proposal,6,6,1897,both,368990
0,RFP,Request for Proposal,7,7,1897,both,354930
0,RFP,Request for Proposal,8,8,1897,both,341694
0,RFP,Request for Proposal,9,9,1897,both,329490
0,RFP,Request for Proposal,10,10,1897,both,318461
0,RFP,Request for Proposal,11,11,1897,both,308109
0,RFP,Request for Proposal,12,12,1897,both,297778
0,RFP,Request for Proposal,0,0,1898,both,576455
0,RFP,Request for Proposal,1,1,1898,both,507550
0,RFP,Request for Proposal,2,2,1898,both,463679
0,RFP,Request for Proposal,3,3,1898,both,433623
0,RFP,Request for Proposal,4,4,1898,both,411931
0,RFP,Request for Proposal,5,5,1898,both,393655
0,RFP,Request for Proposal,6,6,1898,both,378081
0,RFP,Request for Proposal,7,7,1898,both,364293
0,RFP,Request for Proposal,8,8,1898,both,351333
0,RFP,Request for Proposal,9,9,1898,both,338807
0,RFP,Request for Proposal,10,10,1898,both,327063
0,RFP,Request for Proposal,11,11,1898,both,316333
0,RFP,Request for Proposal,12,12,1898,both,306177
0,RFP,Request for Proposal,13,13,1898,both,295979
0,RFP,Request for Proposal,0,0,1899,both,578090
0,RFP,Request for Proposal,1,1,1899,both,514555
0,RFP,Request for Proposal,2,2,1899,both,473637
0,RFP,Request for Proposal,3,3,1899,both,442299
0,RFP,Request for Proposal,4,4,1899,both,419688
0,RFP,Request for Proposal,5,5,1899,both,402523
0,RFP,Request for Proposal,6,6,1899,both,387072
0,RFP,Request for Proposal,7,7,1899,both,373268
0,RFP,Request for Proposal,8,8,1899,both,360601
0,RFP,Request for Proposal,9,9,1899,both,348364
0,RFP,Request for Proposal,10,10,1899,both,336311
0,RFP,Request for Proposal,11,11,1899,both,324877
0,RFP,Request for Proposal,12,12,1899,both,314349
0,RFP,Request for Proposal,13,13,1899,both,304327
0,RFP,Request for Proposal,14,14,1899,both,294220
0,RFP,Request for Proposal,0,0,1900,both,578056
0,RFP,Request for Proposal,1,1,1900,both,516015
0,RFP,Request for Proposal,2,2,1900,both,480174
0,RFP,Request for Proposal,3,3,1900,both,451798
0,RFP,Request for Proposal,4,4,1900,both,428085
0,RFP,Request for Proposal,5,5,1900,both,410103
0,RFP,Request for Proposal,6,6,1900,both,395792
0,RFP,Request for Proposal,7,7,1900,both,382145
0,RFP,Request for Proposal,8,8,1900,both,369485
0,RFP,Request for Proposal,9,9,1900,both,357554
0,RFP,Request for Proposal,10,10,1900,both,345798
0,RFP,Request for Proposal,11,11,1900,both,334063
0,RFP,Request for Proposal,12,12,1900,both,322840
0,RFP,Request for Proposal,13,13,1900,both,312450
0,RFP,Request for Proposal,14,14,1900,both,302518
0,RFP,Request for Proposal,15,15,1900,both,292471
0,RFP,Request for Proposal,0,0,1901,both,577405
0,RFP,Request for Proposal,1,1,1901,both,515984
0,RFP,Request for Proposal,2,2,1901,both,481536
0,RFP,Request for Proposal,3,3,1901,both,458034
0,RFP,Request for Proposal,4,4,1901,both,437279
0,RFP,Request for Proposal,5,5,1901,both,418308
0,RFP,Request for Proposal,6,6,1901,both,403245
0,RFP,Request for Proposal,7,7,1901,both,390754
0,RFP,Request for Proposal,8,8,1901,both,378272
0,RFP,Request for Proposal,9,9,1901,both,366363
0,RFP,Request for Proposal,10,10,1901,both,354920
0,RFP,Request for Proposal,11,11,1901,both,343487
0,RFP,Request for Proposal,12,12,1901,both,331968
0,RFP,Request for Proposal,13,13,1901,both,320889
0,RFP,Request for Proposal,14,14,1901,both,310593
0,RFP,Request for Proposal,15,15,1901,both,300720
0,RFP,Request for Proposal,16,16,1901,both,290710
0,RFP,Request for Proposal,0,0,1902,both,577307
0,RFP,Request for Proposal,1,1,1902,both,515403
0,RFP,Request for Proposal,2,2,1902,both,481507
0,RFP,Request for Proposal,3,3,1902,both,459333
0,RFP,Request for Proposal,4,4,1902,both,443314
0,RFP,Request for Proposal,5,5,1902,both,427292
0,RFP,Request for Proposal,6,6,1902,both,411313
0,RFP,Request for Proposal,7,7,1902,both,398112
0,RFP,Request for Proposal,8,8,1902,both,386794
0,RFP,Request for Proposal,9,9,1902,both,375076
0,RFP,Request for Proposal,10,10,1902,both,363664
0,RFP,Request for Proposal,11,11,1902,both,352548
0,RFP,Request for Proposal,12,12,1902,both,341333
