country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1950,both,0.000552000000000000082
0,RFP,Request for Proposal,0,0,1955,both,-0.00030900000000000003
0,RFP,Request for Proposal,0,0,1960,both,0.000271000000000000028
0,RFP,Request for Proposal,0,0,1965,both,0.000564999999999999964
0,RFP,Request for Proposal,0,0,1970,both,0.000142999999999999979
0,RFP,Request for Proposal,0,0,1975,both,0.001201000000000000028
0,RFP,Request for Proposal,0,0,1980,both,0.002531000000000000263
0,RFP,Request for Proposal,0,0,1985,both,0.000236999999999999987
0,RFP,Request for Proposal,0,0,1990,both,0.001125999999999999831
0,RFP,Request for Proposal,0,0,1995,both,0.000402000000000000014
0,RFP,Request for Proposal,0,0,2000,both,0.000278000000000000035
0,RFP,Request for Proposal,0,0,2005,both,-0.000333000000000000017
0,RFP,Request for Proposal,0,0,2010,both,0.000111999999999999998
0,RFP,Request for Proposal,0,0,2015,both,-0.000793000000000000085
0,RFP,Request for Proposal,0,0,2020,both,-0.000023
0,RFP,Request for Proposal,0,0,2025,both,-0.000255999999999999988
0,RFP,Request for Proposal,0,0,2030,both,-0.000228000000000000013
0,RFP,Request for Proposal,0,0,2035,both,-0.000205999999999999993
0,RFP,Request for Proposal,0,0,2040,both,-0.000186999999999999992
0,RFP,Request for Proposal,0,0,2045,both,-0.00017199999999999998
0,RFP,Request for Proposal,0,0,2050,both,-0.000159000000000000016
0,RFP,Request for Proposal,0,0,2055,both,-0.00014899999999999999
0,RFP,Request for Proposal,0,0,2060,both,-0.000140000000000000015
0,RFP,Request for Proposal,0,0,2065,both,-0.000133000000000000007
0,RFP,Request for Proposal,0,0,2070,both,-0.000126999999999999997
0,RFP,Request for Proposal,0,0,2075,both,-0.000121999999999999997
0,RFP,Request for Proposal,0,0,2080,both,-0.000117999999999999995
0,RFP,Request for Proposal,0,0,2085,both,-0.000115000000000000003
0,RFP,Request for Proposal,0,0,2090,both,-0.000113000000000000009
0,RFP,Request for Proposal,0,0,2095,both,-0.000111000000000000001
