country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1950,both,0.183976200000000006396
0,RFP,Request for Proposal,1,4,1950,both,0.184493939999999995161
0,RFP,Request for Proposal,5,9,1950,both,0.060533969999999999445
0,RFP,Request for Proposal,10,14,1950,both,0.031670190000000000841
0,RFP,Request for Proposal,15,19,1950,both,0.03439996000000000026
0,RFP,Request for Proposal,20,24,1950,both,0.043868060000000000387
0,RFP,Request for Proposal,25,29,1950,both,0.048529080000000002215
0,RFP,Request for Proposal,30,34,1950,both,0.053898670000000002689
0,RFP,Request for Proposal,35,39,1950,both,0.061263440000000002339
0,RFP,Request for Proposal,40,44,1950,both,0.070171670000000005429
0,RFP,Request for Proposal,45,49,1950,both,0.079828759999999998609
0,RFP,Request for Proposal,50,54,1950,both,0.097746799999999994801
0,RFP,Request for Proposal,55,59,1950,both,0.127895220000000003902
0,RFP,Request for Proposal,60,64,1950,both,0.176775049999999989137
0,RFP,Request for Proposal,65,69,1950,both,0.250601090000000026325
0,RFP,Request for Proposal,70,74,1950,both,0.360836869999999976244
0,RFP,Request for Proposal,75,79,1950,both,0.492127890000000012272
0,RFP,Request for Proposal,80,84,1950,both,0.644453599999999959813
0,RFP,Request for Proposal,85,89,1950,both,0.786212510000000031063
0,RFP,Request for Proposal,90,94,1950,both,0.889813040000000055052
0,RFP,Request for Proposal,95,99,1950,both,0.945018840000000026613
0,RFP,Request for Proposal,100,120,1950,both,1
0,RFP,Request for Proposal,0,0,1951,both,0.183214419999999988953
0,RFP,Request for Proposal,1,4,1951,both,0.183289699999999999847
0,RFP,Request for Proposal,5,9,1951,both,0.060345679999999998766
0,RFP,Request for Proposal,10,14,1951,both,0.031575430000000001551
0,RFP,Request for Proposal,15,19,1951,both,0.034309329999999998995
0,RFP,Request for Proposal,20,24,1951,both,0.043760130000000001249
0,RFP,Request for Proposal,25,29,1951,both,0.048408029999999997728
0,RFP,Request for Proposal,30,34,1951,both,0.053759559999999997904
0,RFP,Request for Proposal,35,39,1951,both,0.061102740000000002607
0,RFP,Request for Proposal,40,44,1951,both,0.070004179999999999184
0,RFP,Request for Proposal,45,49,1951,both,0.079647510000000004693
0,RFP,Request for Proposal,50,54,1951,both,0.097542439999999994149
0,RFP,Request for Proposal,55,59,1951,both,0.127651230000000004416
0,RFP,Request for Proposal,60,64,1951,both,0.176459510000000013852
0,RFP,Request for Proposal,65,69,1951,both,0.250172300000000014109
0,RFP,Request for Proposal,70,74,1951,both,0.360278619999999993873
0,RFP,Request for Proposal,75,79,1951,both,0.491489600000000026458
0,RFP,Request for Proposal,80,84,1951,both,0.64382691000000003001
0,RFP,Request for Proposal,85,89,1951,both,0.785077160000000051632
0,RFP,Request for Proposal,90,94,1951,both,0.88886522999999995065
0,RFP,Request for Proposal,95,99,1951,both,0.944252349999999962549
0,RFP,Request for Proposal,100,120,1951,both,1
0,RFP,Request for Proposal,0,0,1952,both,0.181626139999999991481
0,RFP,Request for Proposal,1,4,1952,both,0.18071862999999999122
0,RFP,Request for Proposal,5,9,1952,both,0.060377569999999998462
0,RFP,Request for Proposal,10,14,1952,both,0.031581999999999998963
0,RFP,Request for Proposal,15,19,1952,both,0.034335699999999996779
0,RFP,Request for Proposal,20,24,1952,both,0.043777999999999997471
0,RFP,Request for Proposal,25,29,1952,both,0.048435430000000001538
0,RFP,Request for Proposal,30,34,1952,both,0.053799399999999997224
0,RFP,Request for Proposal,35,39,1952,both,0.061148729999999998364
0,RFP,Request for Proposal,40,44,1952,both,0.070044159999999994204
0,RFP,Request for Proposal,45,49,1952,both,0.079687839999999995899
0,RFP,Request for Proposal,50,54,1952,both,0.097575170000000002735
0,RFP,Request for Proposal,55,59,1952,both,0.127743130000000010282
0,RFP,Request for Proposal,60,64,1952,both,0.176612390000000007984
0,RFP,Request for Proposal,65,69,1952,both,0.25039485999999999688
0,RFP,Request for Proposal,70,74,1952,both,0.360604949999999979671
0,RFP,Request for Proposal,75,79,1952,both,0.491898310000000005271
0,RFP,Request for Proposal,80,84,1952,both,0.644432200000000010576
0,RFP,Request for Proposal,85,89,1952,both,0.784311589999999947409
0,RFP,Request for Proposal,90,94,1952,both,0.888898260000000051129
0,RFP,Request for Proposal,95,99,1952,both,0.944175589999999953505
0,RFP,Request for Proposal,100,120,1952,both,1
0,RFP,Request for Proposal,0,0,1953,both,0.180426909999999995904
0,RFP,Request for Proposal,1,4,1953,both,0.178562649999999989436
0,RFP,Request for Proposal,5,9,1953,both,0.059789009999999996603
0,RFP,Request for Proposal,10,14,1953,both,0.031278710000000001235
0,RFP,Request for Proposal,15,19,1953,both,0.034037919999999999288
0,RFP,Request for Proposal,20,24,1953,both,0.04341475000000000195
0,RFP,Request for Proposal,25,29,1953,both,0.048028410000000000546
0,RFP,Request for Proposal,30,34,1953,both,0.053340079999999998051
0,RFP,Request for Proposal,35,39,1953,both,0.060620489999999999098
0,RFP,Request for Proposal,40,44,1953,both,0.069466390000000002858
0,RFP,Request for Proposal,45,49,1953,both,0.079059909999999997132
0,RFP,Request for Proposal,50,54,1953,both,0.096851259999999994577
0,RFP,Request for Proposal,55,59,1953,both,0.126833689999999998932
0,RFP,Request for Proposal,60,64,1953,both,0.175444240000000001301
0,RFP,Request for Proposal,65,69,1953,both,0.248837100000000005506
0,RFP,Request for Proposal,70,74,1953,both,0.358571939999999977911
0,RFP,Request for Proposal,75,79,1953,both,0.489500930000000000764
0,RFP,Request for Proposal,80,84,1953,both,0.642113579999999961601
0,RFP,Request for Proposal,85,89,1953,both,0.781359519999999974083
0,RFP,Request for Proposal,90,94,1953,both,0.887151849999999964069
0,RFP,Request for Proposal,95,99,1953,both,0.943029769999999989416
0,RFP,Request for Proposal,100,120,1953,both,1
0,RFP,Request for Proposal,0,0,1954,both,0.179044540000000002022
0,RFP,Request for Proposal,1,4,1954,both,0.176521459999999991153
0,RFP,Request for Proposal,5,9,1954,both,0.060008939999999996728
0,RFP,Request for Proposal,10,14,1954,both,0.031388380000000000447
0,RFP,Request for Proposal,15,19,1954,both,0.034162329999999997698
0,RFP,Request for Proposal,20,24,1954,both,0.043561400000000000121
0,RFP,Request for Proposal,25,29,1954,both,0.048194870000000000765
0,RFP,Request for Proposal,30,34,1954,both,0.053532179999999998654
0,RFP,Request for Proposal,35,39,1954,both,0.060841369999999998786
0,RFP,Request for Proposal,40,44,1954,both,0.069707480000000002218
0,RFP,Request for Proposal,45,49,1954,both,0.079331260000000000665
0,RFP,Request for Proposal,50,54,1954,both,0.097142110000000003733
0,RFP,Request for Proposal,55,59,1954,both,0.127239860000000010176
0,RFP,Request for Proposal,60,64,1954,both,0.176000419999999990761
0,RFP,Request for Proposal,65,69,1954,both,0.249584439999999990745
0,RFP,Request for Proposal,70,74,1954,both,0.359594120000000017079
0,RFP,Request for Proposal,75,79,1954,both,0.490726969999999984573
0,RFP,Request for Proposal,80,84,1954,both,0.643540679999999976069
0,RFP,Request for Proposal,85,89,1954,both,0.782241720000000029245
0,RFP,Request for Proposal,90,94,1954,both,0.887486160000000023906
0,RFP,Request for Proposal,95,99,1954,both,0.943077009999999993362
0,RFP,Request for Proposal,100,120,1954,both,1
0,RFP,Request for Proposal,0,0,1955,both,0.177870980000000011856
0,RFP,Request for Proposal,1,4,1955,both,0.174451720000000004562
0,RFP,Request for Proposal,5,9,1955,both,0.059502689999999996973
0,RFP,Request for Proposal,10,14,1955,both,0.031125799999999998607
0,RFP,Request for Proposal,15,19,1955,both,0.033904969999999999553
0,RFP,Request for Proposal,20,24,1955,both,0.043249559999999999393
0,RFP,Request for Proposal,25,29,1955,both,0.047843299999999998329
0,RFP,Request for Proposal,30,34,1955,both,0.053135059999999997848
0,RFP,Request for Proposal,35,39,1955,both,0.06038492000000000165
0,RFP,Request for Proposal,40,44,1955,both,0.069209530000000005212
0,RFP,Request for Proposal,45,49,1955,both,0.07878907999999999745
0,RFP,Request for Proposal,50,54,1955,both,0.09652354000000000489
0,RFP,Request for Proposal,55,59,1955,both,0.126439610000000007828
0,RFP,Request for Proposal,60,64,1955,both,0.174981470000000000065
0,RFP,Request for Proposal,65,69,1955,both,0.248226000000000002199
0,RFP,Request for Proposal,70,74,1955,both,0.357813920000000007526
0,RFP,Request for Proposal,75,79,1955,both,0.488633770000000022815
0,RFP,Request for Proposal,80,84,1955,both,0.641423150000000052984
0,RFP,Request for Proposal,85,89,1955,both,0.780388340000000013674
0,RFP,Request for Proposal,90,94,1955,both,0.885863430000000007247
0,RFP,Request for Proposal,95,99,1955,both,0.941873500000000030141
0,RFP,Request for Proposal,100,120,1955,both,1
0,RFP,Request for Proposal,0,0,1956,both,0.176897389999999987698
0,RFP,Request for Proposal,1,4,1956,both,0.173196870000000002765
0,RFP,Request for Proposal,5,9,1956,both,0.059650099999999997569
0,RFP,Request for Proposal,10,14,1956,both,0.031209560000000000773
0,RFP,Request for Proposal,15,19,1956,both,0.033994879999999998155
0,RFP,Request for Proposal,20,24,1956,both,0.04337432000000000093
0,RFP,Request for Proposal,25,29,1956,both,0.047974900000000000877
0,RFP,Request for Proposal,30,34,1956,both,0.053275610000000001021
0,RFP,Request for Proposal,35,39,1956,both,0.060545460000000002332
0,RFP,Request for Proposal,40,44,1956,both,0.069405289999999994488
0,RFP,Request for Proposal,45,49,1956,both,0.079021990000000000287
0,RFP,Request for Proposal,50,54,1956,both,0.096789520000000003885
0,RFP,Request for Proposal,55,59,1956,both,0.126763120000000006904
0,RFP,Request for Proposal,60,64,1956,both,0.175414309999999989964
0,RFP,Request for Proposal,65,69,1956,both,0.248781709999999989247
0,RFP,Request for Proposal,70,74,1956,both,0.358559210000000017082
0,RFP,Request for Proposal,75,79,1956,both,0.489526240000000001373
0,RFP,Request for Proposal,80,84,1956,both,0.642395190000000004815
0,RFP,Request for Proposal,85,89,1956,both,0.781391539999999995558
0,RFP,Request for Proposal,90,94,1956,both,0.886126909999999989864
0,RFP,Request for Proposal,95,99,1956,both,0.941893899999999950623
0,RFP,Request for Proposal,100,120,1956,both,1
0,RFP,Request for Proposal,0,0,1957,both,0.17603091000000001265
0,RFP,Request for Proposal,1,4,1957,both,0.171606740000000007607
0,RFP,Request for Proposal,5,9,1957,both,0.059118600000000000316
0,RFP,Request for Proposal,10,14,1957,both,0.030931770000000000792
0,RFP,Request for Proposal,15,19,1957,both,0.033720269999999996635
0,RFP,Request for Proposal,20,24,1957,both,0.043038930000000003018
0,RFP,Request for Proposal,25,29,1957,both,0.047598519999999998331
0,RFP,Request for Proposal,30,34,1957,both,0.05285150999999999738
0,RFP,Request for Proposal,35,39,1957,both,0.060058300000000001961
0,RFP,Request for Proposal,40,44,1957,both,0.068871680000000004562
0,RFP,Request for Proposal,45,49,1957,both,0.078433230000000006554
0,RFP,Request for Proposal,50,54,1957,both,0.096134620000000003959
0,RFP,Request for Proposal,55,59,1957,both,0.12588915999999999995
0,RFP,Request for Proposal,60,64,1957,both,0.174319620000000008453
0,RFP,Request for Proposal,65,69,1957,both,0.247332870000000010213
