country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1950,both,8815675
0,RFP,Request for Proposal,0,0,1955,both,9739205
0,RFP,Request for Proposal,0,0,1960,both,10855093
0,RFP,Request for Proposal,0,0,1965,both,12128836
0,RFP,Request for Proposal,0,0,1970,both,13747923
0,RFP,Request for Proposal,0,0,1975,both,16021981
0,RFP,Request for Proposal,0,0,1980,both,18039150
0,RFP,Request for Proposal,0,0,1985,both,19526834
0,RFP,Request for Proposal,0,0,1990,both,21920831
0,RFP,Request for Proposal,0,0,1995,both,24648635
0,RFP,Request for Proposal,0,0,2000,both,28166441
0,RFP,Request for Proposal,0,0,2005,both,31733322
0,RFP,Request for Proposal,0,0,2010,both,34990560
0,RFP,Request for Proposal,0,0,2015,both,37432153
0,RFP,Request for Proposal,0,0,2020,both,40076035
0,RFP,Request for Proposal,0,0,2025,both,42563604
0,RFP,Request for Proposal,0,0,2030,both,44498017
0,RFP,Request for Proposal,0,0,2035,both,45579128
0,RFP,Request for Proposal,0,0,2040,both,46180688
0,RFP,Request for Proposal,0,0,2045,both,46169991
0,RFP,Request for Proposal,0,0,2050,both,45921985
0,RFP,Request for Proposal,0,0,2055,both,45573889
0,RFP,Request for Proposal,0,0,2060,both,45416943
0,RFP,Request for Proposal,0,0,2065,both,44624260
0,RFP,Request for Proposal,0,0,2070,both,43783599
0,RFP,Request for Proposal,0,0,2075,both,42786843
0,RFP,Request for Proposal,0,0,2080,both,41862324
0,RFP,Request for Proposal,0,0,2085,both,40819178
0,RFP,Request for Proposal,0,0,2090,both,39911808
0,RFP,Request for Proposal,0,0,2095,both,38919870
