country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,4,1950,both,0.334528000000000047542
0,RFP,Request for Proposal,0,4,1951,both,0.332923000000000024468
0,RFP,Request for Proposal,0,4,1952,both,0.32952199999999998159
0,RFP,Request for Proposal,0,4,1953,both,0.326772000000000006903
0,RFP,Request for Proposal,0,4,1954,both,0.323960999999999998966
0,RFP,Request for Proposal,0,4,1955,both,0.321292999999999995264
0,RFP,Request for Proposal,0,4,1956,both,0.319456000000000017724
0,RFP,Request for Proposal,0,4,1957,both,0.317429999999999989946
0,RFP,Request for Proposal,0,4,1958,both,0.3156450000000000089
0,RFP,Request for Proposal,0,4,1959,both,0.312663999999999997481
0,RFP,Request for Proposal,0,4,1960,both,0.309754000000000029313
0,RFP,Request for Proposal,0,4,1961,both,0.306819000000000008388
0,RFP,Request for Proposal,0,4,1962,both,0.303910000000000013465
0,RFP,Request for Proposal,0,4,1963,both,0.298781999999999992035
0,RFP,Request for Proposal,0,4,1964,both,0.296072999999999975085
0,RFP,Request for Proposal,0,4,1965,both,0.294213000000000002299
0,RFP,Request for Proposal,0,4,1966,both,0.291945000000000010054
0,RFP,Request for Proposal,0,4,1967,both,0.296432000000000028805
0,RFP,Request for Proposal,0,4,1968,both,0.291127999999999997893
0,RFP,Request for Proposal,0,4,1969,both,0.289105999999999974115
0,RFP,Request for Proposal,0,4,1970,both,0.285139000000000031321
0,RFP,Request for Proposal,0,4,1971,both,0.277093000000000033722
0,RFP,Request for Proposal,0,4,1972,both,0.269028000000000044878
0,RFP,Request for Proposal,0,4,1973,both,0.260572999999999999066
0,RFP,Request for Proposal,0,4,1974,both,0.252143000000000006011
0,RFP,Request for Proposal,0,4,1975,both,0.243794000000000010697
0,RFP,Request for Proposal,0,4,1976,both,0.235843999999999998085
0,RFP,Request for Proposal,0,4,1977,both,0.229014000000000023105
0,RFP,Request for Proposal,0,4,1978,both,0.222788000000000013801
0,RFP,Request for Proposal,0,4,1979,both,0.217541000000000012138
0,RFP,Request for Proposal,0,4,1980,both,0.213669000000000025574
0,RFP,Request for Proposal,0,4,1981,both,0.210127000000000008217
0,RFP,Request for Proposal,0,4,1982,both,0.208389999999999991909
0,RFP,Request for Proposal,0,4,1983,both,0.207490000000000007763
0,RFP,Request for Proposal,0,4,1984,both,0.20767199999999999549
0,RFP,Request for Proposal,0,4,1985,both,0.208204000000000000181
0,RFP,Request for Proposal,0,4,1986,both,0.209203000000000000069
0,RFP,Request for Proposal,0,4,1987,both,0.210056999999999993722
0,RFP,Request for Proposal,0,4,1988,both,0.210608000000000017415
0,RFP,Request for Proposal,0,4,1989,both,0.210719999999999990647
0,RFP,Request for Proposal,0,4,1990,both,0.210414999999999990932
0,RFP,Request for Proposal,0,4,1991,both,0.210449999999999998179
0,RFP,Request for Proposal,0,4,1992,both,0.209324000000000010058
0,RFP,Request for Proposal,0,4,1993,both,0.208273000000000013676
0,RFP,Request for Proposal,0,4,1994,both,0.206266000000000004899
0,RFP,Request for Proposal,0,4,1995,both,0.204455999999999998851
